,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
211,2021-11-11,LZ,"LegalZoom.com, Inc.",19.91,-3.88,-16.31,3.92B,50.22601707684581
212,2021-11-11,BLND,"Blend Labs, Inc.",12.96,-2.49,-16.12,2.943B,77.1604938271605
213,2021-11-11,RELY,"Remitly Global, Inc.",30.84,-5.66,-15.51,4.977B,32.425421530479895
214,2021-11-11,PWSC,"PowerSchool Holdings, Inc.",21.59,-3.21,-12.94,4.283B,46.31773969430292
215,2021-11-11,HAIN,"The Hain Celestial Group, Inc.",42.15,-5.94,-12.35,4.072B,23.72479240806643
216,2021-11-11,SDGR,"Schrödinger, Inc.",45.16,-6.0,-11.73,3.195B,22.143489813994687
217,2021-11-11,CAE,CAE Inc.,29.8,-3.54,-10.62,9.492B,33.557046979865774
218,2021-11-11,DDL,Dingdong (Cayman) Limited,30.0,-3.37,-10.1,7.082B,33.333333333333336
219,2021-11-11,VRM,"Vroom, Inc.",18.59,-2.03,-9.84,2.545B,53.79236148466918
220,2021-11-11,OTLY,Oatly Group AB,11.3,-1.06,-8.58,6.687B,88.49557522123894
221,2021-11-11,BURL,"Burlington Stores, Inc.",269.82,-22.81,-7.79,18.004B,3.7061744866948336
222,2021-11-11,ODP,The ODP Corporation,39.77,-3.33,-7.73,2.05B,25.14458134272064
223,2021-11-11,DIS,The Walt Disney Company,162.11,-12.34,-7.07,294.575B,6.16865091604466
224,2021-11-11,TNRSF,Tenaris S.A.,11.8,-0.85,-6.72,13.93B,84.7457627118644
225,2021-11-13,INSD,Instadose Pharma Corp.,35.0,-10.0,-22.22,2.625B,28.571428571428573
226,2021-11-13,JAMF,Jamf Holding Corp.,32.14,-9.14,-22.14,3.814B,31.113876789047914
227,2021-11-13,NTCO,Natura &Co Holding S.A.,12.23,-2.51,-17.03,8.509B,81.76614881439085
228,2021-11-13,CELH,"Celsius Holdings, Inc.",83.35,-14.36,-14.7,7.278B,11.99760047990402
229,2021-11-13,IS,ironSource Ltd.,11.05,-1.38,-11.1,6.973B,90.49773755656108
230,2021-11-13,IOVA,"Iovance Biotherapeutics, Inc.",21.07,-2.43,-10.34,3.306B,47.460844803037496
231,2021-11-13,CPNG,"Coupang, Inc.",26.58,-2.61,-8.94,50.662B,37.62227238525208
232,2021-11-13,FCFS,"FirstCash, Inc.",78.64,-7.2,-8.39,3.18B,12.71617497456765
233,2021-11-13,HPE,Hewlett Packard Enterprise Company,14.64,-1.3,-8.16,19.15B,68.30601092896174
234,2021-11-13,TIL,"Instil Bio, Inc.",20.68,-1.57,-7.06,2.663B,48.355899419729205
235,2021-11-13,SYNH,"Syneos Health, Inc.",95.72,-6.88,-6.71,10.639B,10.447137484329296
236,2021-11-13,AZN,AstraZeneca PLC,58.8,-4.12,-6.55,183.363B,17.006802721088437
237,2021-11-13,PATH,UiPath Inc.,53.7,-3.75,-6.53,27.577B,18.6219739292365
238,2021-11-13,VYGVF,Voyager Digital Ltd.,17.19,-1.19,-6.48,2.79B,58.17335660267597
239,2021-11-13,ONEM,"1Life Healthcare, Inc.",21.03,-1.35,-6.03,4.038B,47.5511174512601
240,2021-11-13,BROS,Dutch Bros Inc.,62.06,-3.94,-5.97,3.294B,16.113438607798905
241,2021-11-13,SHCR,"Sharecare, Inc.",7.77,-0.49,-5.93,2.634B,128.70012870012872
242,2021-11-13,WPLCF,Wise plc,10.65,-0.61,-5.42,10.592B,93.89671361502349
243,2021-11-13,OGZPY,Public Joint Stock Company Gazprom,9.14,-0.5,-5.19,111.338B,109.40919037199124
244,2021-11-13,ADCT,ADC Therapeutics SA,26.46,-1.42,-5.09,2.071B,37.79289493575208
245,2021-11-15,SPLK,Splunk Inc.,137.38,-30.44,-18.14,22.193B,7.2790799242975694
246,2021-11-15,TGTX,"TG Therapeutics, Inc.",27.05,-4.73,-14.88,3.867B,36.96857670979667
247,2021-11-15,EVGO,"EVgo, Inc.",16.19,-2.71,-14.34,4.283B,61.76652254478073
248,2021-11-15,MORF,"Morphic Holding, Inc.",55.32,-7.42,-11.83,2.045B,18.07664497469269
249,2021-11-15,ME,23andMe Holding Co.,11.17,-1.45,-11.49,4.879B,89.52551477170994
250,2021-11-15,PHG,Koninklijke Philips N.V.,42.16,-5.46,-11.47,38.481B,23.719165085389
251,2021-11-15,CFLT,"Confluent, Inc.",80.0,-10.01,-11.12,21.158B,12.5
252,2021-11-15,BE,Bloom Energy Corporation,30.37,-3.78,-11.07,5.329B,32.927230819888045
253,2021-11-15,GTBIF,Green Thumb Industries Inc.,24.16,-2.95,-10.88,5.33B,41.3907284768212
254,2021-11-15,ARWR,"Arrowhead Pharmaceuticals, Inc.",65.9,-8.04,-10.87,6.871B,15.174506828528072
255,2021-11-15,CRWD,"CrowdStrike Holdings, Inc.",254.15,-30.15,-10.6,57.995B,3.934684241589612
256,2021-11-15,FORG,"ForgeRock, Inc.",28.01,-3.27,-10.45,2.223B,35.701535166012135
257,2021-11-15,EGRNY,China Evergrande Group,8.69,-0.91,-9.53,4.586B,115.07479861910242
258,2021-11-15,LESL,"Leslie's, Inc.",21.44,-2.23,-9.42,4.069B,46.64179104477612
